n,score
2082,32444
2083,32252
2084,32436
2085,34788
2086,31364
2087,27304
2088,34392
2089,16220
2090,34452
2091,34448
2092,14488
2093,32748
2094,34540
2095,12220
2096,11984
2097,18652
2098,36168
2099,34348
2100,27204
2101,36024
2102,32832
2103,23908
2104,34568
2105,53100
2106,15908
2107,69032
2108,23436
2109,35468
2110,30584
2111,35836
2112,35276
2113,38164
2114,30420
2115,29060
2116,42624
2117,32192
2118,14628
2119,36268
2120,58520
2121,14460
2122,34440
2123,34560
2124,31912
2125,32440
2126,35512
2127,35912
2128,31304
2129,35360
2130,27040
2131,16184
2132,48532
2133,25388
2134,52960
2135,34300
2136,34448
2137,34472
2138,31388
2139,21572
2140,34120
2141,26028
2142,33032
2143,42820
2144,14552
2145,33896
2146,31892
2147,33816
2148,35848
2149,52708
2150,16068
2151,31460
2152,30624
2153,58488
2154,35340
2155,32432
2156,32560
2157,36200
2158,34128
2159,35740
2160,49520
2161,15460
2162,36276
2163,57880
2164,16460
2165,33976
2166,60644
2167,12232
2168,35128
2169,35452
2170,35492
2171,34520
2172,35364
2173,35980
2174,25572
2175,33860
2176,31580
2177,35264
2178,34960
2179,25356
2180,29292
2181,35432
2182,34204
2183,46456
2184,30096
2185,34100
2186,35380
2187,16860
2188,36076
2189,16372
2190,36636
2191,30688
2192,38420
2193,25436
2194,25596
2195,35204
2196,31436
2197,32152
2198,33616
2199,15028
2200,33568
2201,35664
2202,13284
2203,32972
2204,35284
2205,28824
2206,34608
2207,35092
2208,34176
2209,35080
2210,14048
2211,47164
2212,35440
2213,16016
2214,31552
2215,14372
2216,57020
2217,14392
2218,69436
2219,34380
2220,30744
2221,14612
2222,35704
2223,15788
2224,36280
2225,36096
2226,23476
2227,36272
2228,21416
2229,31580
2230,34796
2231,30396
2232,35972
2233,16080
2234,7112
2235,32176
2236,34504
2237,35396
2238,35508
2239,29528
2240,35572
2241,32180
2242,27804
2243,34140
2244,32448
2245,14472
2246,34704
2247,36288
2248,35400
2249,47488
2250,36980
2251,71628
2252,26568
2253,37680
2254,34592
2255,34468
2256,32272
2257,29496
2258,36056
2259,14496
2260,2052
2261,26760
2262,36012
2263,25452
2264,14504
2265,24512
2266,32516
2267,26436
2268,36156
2269,27440
2270,34536
2271,34460
2272,27080
2273,16316
2274,32100
2275,37184
2276,35988
2277,55676
